date,open,high,low,close,volume
2023-12-31 00:00:00+00:00,39.33,39.57,39.21,39.35,60768.25
2023-12-31 01:00:00+00:00,39.34,39.41,39.0,39.2,66997.13
2023-12-31 02:00:00+00:00,39.2,39.3,38.7,38.88,70827.89
2023-12-31 03:00:00+00:00,38.87,38.94,38.58,38.91,48633.17
2023-12-31 04:00:00+00:00,38.9,39.6,38.81,39.45,89540.19
2023-12-31 05:00:00+00:00,39.45,39.88,39.38,39.62,79520.83
2023-12-31 06:00:00+00:00,39.63,39.82,39.5,39.53,43375.76
2023-12-31 07:00:00+00:00,39.55,40.36,39.52,40.31,133247.75
2023-12-31 08:00:00+00:00,40.32,40.33,39.84,40.04,113974.23
2023-12-31 09:00:00+00:00,40.04,40.55,39.89,40.38,165598.91
2023-12-31 10:00:00+00:00,40.38,40.49,39.96,40.21,100567.75
2023-12-31 11:00:00+00:00,40.21,40.3,39.89,39.97,60959.67
2023-12-31 12:00:00+00:00,39.98,40.27,39.53,39.71,118915.02
2023-12-31 13:00:00+00:00,39.72,40.02,39.5,39.88,81159.79
2023-12-31 14:00:00+00:00,39.88,39.89,39.54,39.63,59309.48
2023-12-31 15:00:00+00:00,39.64,39.88,39.18,39.22,118626.74
2023-12-31 16:00:00+00:00,39.22,39.94,39.19,39.78,95952.59
2023-12-31 17:00:00+00:00,39.79,39.89,39.45,39.5,71714.21
2023-12-31 18:00:00+00:00,39.5,39.63,39.27,39.29,48938.72
2023-12-31 19:00:00+00:00,39.3,39.52,39.23,39.33,59534.71
2023-12-31 20:00:00+00:00,39.33,39.65,39.18,39.48,142520.73
2023-12-31 21:00:00+00:00,39.48,39.69,39.18,39.19,65142.38
2023-12-31 22:00:00+00:00,39.19,39.37,37.51,38.25,206281.84
2023-12-31 23:00:00+00:00,38.25,38.67,38.14,38.55,106074.03
2024-01-01 00:00:00+00:00,38.57,38.97,38.49,38.94,76436.96
2024-01-01 01:00:00+00:00,38.94,39.65,38.83,39.39,73703.55
2024-01-01 02:00:00+00:00,39.38,39.39,38.96,39.04,49535.61
2024-01-01 03:00:00+00:00,39.04,39.07,38.4,38.51,61336.55
2024-01-01 04:00:00+00:00,38.51,38.64,38.0,38.21,132417.65
2024-01-01 05:00:00+00:00,38.21,38.53,38.06,38.11,66744.6
2024-01-01 06:00:00+00:00,38.12,38.42,38.08,38.33,64183.38
2024-01-01 07:00:00+00:00,38.33,38.68,38.19,38.53,46433.42
2024-01-01 08:00:00+00:00,38.54,38.78,38.46,38.77,43327.27
2024-01-01 09:00:00+00:00,38.76,39.79,38.68,39.63,155961.01
2024-01-01 10:00:00+00:00,39.61,39.89,39.5,39.52,126364.9
2024-01-01 11:00:00+00:00,39.51,39.73,39.12,39.52,119879.98
2024-01-01 12:00:00+00:00,39.53,39.81,39.39,39.67,91380.25
2024-01-01 13:00:00+00:00,39.66,39.76,39.49,39.58,87276.68
2024-01-01 14:00:00+00:00,39.59,39.76,39.3,39.53,102418.01
2024-01-01 15:00:00+00:00,39.53,40.28,39.46,40.15,159210.7
2024-01-01 16:00:00+00:00,40.14,40.38,39.9,39.99,169227.43
2024-01-01 17:00:00+00:00,39.99,40.15,39.88,40.06,61329.46
2024-01-01 18:00:00+00:00,40.06,40.63,40.06,40.5,165441.69
2024-01-01 19:00:00+00:00,40.51,41.08,40.51,41.05,198883.31
2024-01-01 20:00:00+00:00,41.06,41.49,41.01,41.19,210691.67
2024-01-01 21:00:00+00:00,41.19,41.44,40.96,41.18,181047.49
2024-01-01 22:00:00+00:00,41.17,41.31,40.75,41.3,86745.26
2024-01-01 23:00:00+00:00,41.3,42.0,41.2,41.94,204149.48
2024-01-02 00:00:00+00:00,41.95,42.51,41.59,42.49,269850.27
2024-01-02 01:00:00+00:00,42.48,42.83,42.11,42.14,245810.79
2024-01-02 02:00:00+00:00,42.13,42.35,42.02,42.1,135806.6
2024-01-02 03:00:00+00:00,42.09,42.18,41.73,42.08,124098.93
2024-01-02 04:00:00+00:00,42.08,42.47,41.9,42.4,113058.24
2024-01-02 05:00:00+00:00,42.41,42.79,42.33,42.76,124148.45
2024-01-02 06:00:00+00:00,42.75,42.76,42.31,42.33,127708.45
2024-01-02 07:00:00+00:00,42.34,43.33,42.32,43.21,234025.01
2024-01-02 08:00:00+00:00,43.2,43.27,42.71,43.13,188921.47
2024-01-02 09:00:00+00:00,43.12,43.44,42.89,43.23,175147.86
2024-01-02 10:00:00+00:00,43.23,43.26,42.51,42.87,164302.45
2024-01-02 11:00:00+00:00,42.87,42.97,41.98,42.28,216331.26
2024-01-02 12:00:00+00:00,42.29,42.5,41.74,41.75,173426.03
2024-01-02 13:00:00+00:00,41.75,42.06,41.74,41.77,96477.98
2024-01-02 14:00:00+00:00,41.77,41.98,40.62,40.9,283116.99
2024-01-02 15:00:00+00:00,40.89,41.55,40.51,41.15,231191.42
2024-01-02 16:00:00+00:00,41.16,41.46,40.81,41.36,138498.5
2024-01-02 17:00:00+00:00,41.36,41.37,40.73,41.07,101727.45
2024-01-02 18:00:00+00:00,41.07,41.32,40.85,40.94,78140.25
2024-01-02 19:00:00+00:00,40.93,41.28,40.52,40.78,105887.74
2024-01-02 20:00:00+00:00,40.78,41.05,40.38,40.44,94348.17
2024-01-02 21:00:00+00:00,40.44,40.75,40.31,40.71,92505.52
2024-01-02 22:00:00+00:00,40.7,41.01,40.49,40.76,75558.86
2024-01-02 23:00:00+00:00,40.76,40.82,40.43,40.61,51912.57
2024-01-03 00:00:00+00:00,40.61,40.98,40.38,40.74,109615.56
2024-01-03 01:00:00+00:00,40.73,40.89,40.5,40.85,83131.26
2024-01-03 02:00:00+00:00,40.85,41.0,40.54,40.58,85177.79
2024-01-03 03:00:00+00:00,40.57,40.82,40.52,40.73,35715.69
2024-01-03 04:00:00+00:00,40.73,40.9,40.57,40.69,70315.05
2024-01-03 05:00:00+00:00,40.69,40.96,40.65,40.8,76574.05
2024-01-03 06:00:00+00:00,40.82,41.14,40.72,41.05,66659.05
2024-01-03 07:00:00+00:00,41.04,41.29,40.58,40.68,124889.12
2024-01-03 08:00:00+00:00,40.69,40.99,40.65,40.95,91403.28
2024-01-03 09:00:00+00:00,40.97,41.29,40.88,41.13,128768.0
2024-01-03 10:00:00+00:00,41.14,41.43,40.85,40.99,136797.96
2024-01-03 11:00:00+00:00,41.0,41.01,39.0,39.32,472115.44
2024-01-03 12:00:00+00:00,39.33,39.35,33.06,37.73,1691022.7
2024-01-03 13:00:00+00:00,37.73,37.75,36.0,36.85,635400.66
2024-01-03 14:00:00+00:00,36.85,36.88,35.6,36.02,428410.96
2024-01-03 15:00:00+00:00,36.01,37.2,35.95,37.14,335032.41
2024-01-03 16:00:00+00:00,37.15,37.28,36.31,36.85,479104.57
2024-01-03 17:00:00+00:00,36.85,36.86,36.13,36.48,257835.35
2024-01-03 18:00:00+00:00,36.48,36.79,35.5,35.94,212858.57
2024-01-03 19:00:00+00:00,35.95,36.66,35.95,36.22,133098.38
2024-01-03 20:00:00+00:00,36.21,37.28,36.16,37.14,294124.68
2024-01-03 21:00:00+00:00,37.17,37.46,36.92,37.32,158929.11
2024-01-03 22:00:00+00:00,37.33,37.44,36.59,36.71,108718.26
2024-01-03 23:00:00+00:00,36.72,36.81,36.4,36.8,73932.77
2024-01-04 00:00:00+00:00,36.79,37.2,36.65,36.85,81593.18
2024-01-04 01:00:00+00:00,36.85,37.01,36.2,36.29,100760.43
2024-01-04 02:00:00+00:00,36.29,37.15,36.21,37.11,77440.92
2024-01-04 03:00:00+00:00,37.12,37.18,36.62,36.99,68512.96
2024-01-04 04:00:00+00:00,36.99,37.13,36.81,37.02,68480.89
2024-01-04 05:00:00+00:00,37.03,37.31,36.73,36.99,76173.11
2024-01-04 06:00:00+00:00,36.99,37.38,36.86,37.17,58274.07
2024-01-04 07:00:00+00:00,37.17,37.37,36.58,36.59,113934.01
2024-01-04 08:00:00+00:00,36.6,36.79,36.38,36.61,103356.32
2024-01-04 09:00:00+00:00,36.61,36.94,36.59,36.75,69407.21
2024-01-04 10:00:00+00:00,36.75,36.85,36.07,36.68,115914.83
2024-01-04 11:00:00+00:00,36.68,37.15,36.68,37.03,92463.23
2024-01-04 12:00:00+00:00,37.04,37.4,36.78,37.36,132548.06
2024-01-04 13:00:00+00:00,37.35,37.39,36.85,37.19,97116.99
2024-01-04 14:00:00+00:00,37.19,37.96,37.03,37.95,189857.35
2024-01-04 15:00:00+00:00,37.95,39.45,37.61,39.3,382251.97
2024-01-04 16:00:00+00:00,39.3,39.32,38.02,38.76,341580.9
2024-01-04 17:00:00+00:00,38.76,38.93,38.24,38.82,301236.76
2024-01-04 18:00:00+00:00,38.82,39.14,38.69,38.82,142402.91
2024-01-04 19:00:00+00:00,38.82,39.38,38.49,38.78,327165.54
2024-01-04 20:00:00+00:00,38.78,39.41,38.72,38.73,293306.3
2024-01-04 21:00:00+00:00,38.73,39.06,38.45,38.62,143913.27
2024-01-04 22:00:00+00:00,38.62,39.05,38.31,38.56,83244.06
